Genero;Edad;Tipo_Hogar;Vive_rural;Actividad_Laboral;Trabajo_Esencial;Ingreso_Neto_Mensual;¿Hasta que punto está preocupado de que Usted o un miembro de su familia se pueda contagiar de Coronavirus COVID-19? ;¿Ha podido concentrarse bien en lo que hace?;¿Sus preocupaciones le han hecho perder el sueño?;¿Ha sentido que está jugando un papel útil en la vida? ;¿Se ha sentido capaz de tomar decisiones?;¿Se ha sentido constantemente agobiado y en tensión?;¿Ha sentido que no puede superar sus dificultades?;¿Ha sido capaz de disfrutar sus actividades normales de cada día?;¿Ha sido capaz de hacer frente a sus problemas?;¿Se ha sentido deprimido?;¿Ha perdido confianza en sí mismo?;¿Ha pensado que usted es una persona que no vale para nada?;¿Se siente razonablemente bien dadas las circunstancias actuales?;¿Ha experimentado problemas físicos derivados de la falta de actividad física?;¿Ha experimentado insomnio/problemas para dormir?;Aburrimiento;Sensación de aislamiento;Frustación;Irritación;Preocupación;Soledad;Impotencia;Rabia;Miedo;Nerviosismo;Tristeza;Culpa;Felicidad;Alivio;Acuerdo_Cumplimiento_Medidas;La personas importantes para mi respetan a rajatabla las medidas para frenar el contagio;En mi entorno directo he tenido conocimiento de muy pocos casos de personas que hayan infringido las medidas de prevención de contagio;Las personas que son importantes para mi piensan que respetar las medidas de prevención del contagio es lo correcto;Acuerdo_Presion_Social;Pensar en el COVID-19  me hace sentir ansioso/a;Me siento tenso/a cuando pienso en la amenaza del  COVID19
0;64;4;0;7;0;4;1;3;3;3;2;3;5;3;3;5;5;5;5;3;4;3;3;3;5;5;5;5;3;5;5;3;5;3;3;4;5;5;5;1;1;1
1;59;4;0;7;0;5;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;2;5;5;5;5;5;5;5;5;5;5;3;3;4;4;5;5;4;1;1
1;78;4;0;7;0;3;5;4;2;4;4;4;4;4;4;4;4;5;5;3;3;5;5;5;4;3;5;4;4;3;5;3;4;3;3;4;1;4;5;3;2;2
0;71;5;0;7;0;4;3;3;4;3;3;3;3;4;3;3;3;3;3;3;3;5;5;5;5;4;5;5;5;4;5;5;5;3;3;4;2;4;3;4;1;1
1;64;5;0;7;0;3;4;3;2;1;3;3;3;3;3;3;3;4;4;3;2;5;4;3;4;1;3;1;1;4;1;3;5;2;3;5;5;5;5;5;2;2
0;69;5;0;7;0;3;5;2;5;4;2;2;2;1;2;2;4;5;1;1;2;5;1;1;1;2;3;1;2;4;2;1;5;4;5;4;5;5;5;5;3;2
1;67;6;0;7;0;3;5;3;3;5;3;3;3;3;3;3;3;3;3;1;3;1;1;2;3;2;1;1;3;3;3;3;3;3;3;3;5;5;5;5;4;5
0;70;6;0;7;0;3;3;3;3;3;3;3;3;2;3;3;3;3;3;2;3;2;3;3;4;3;3;3;3;3;3;4;5;3;5;3;5;5;5;3;3;3
1;65;6;0;7;0;1;1;4;4;3;3;5;5;5;4;3;5;5;3;3;4;2;2;5;4;3;5;4;4;5;5;4;5;3;5;4;5;5;5;4;1;2
1;66;6;0;7;0;2;5;5;4;3;4;4;4;5;5;5;5;5;5;2;4;5;5;5;5;5;5;2;5;5;5;3;5;4;5;3;5;4;5;2;3;3
1;62;6;0;7;0;3;2;1;1;2;3;1;1;2;3;1;4;4;4;3;1;3;3;2;2;1;3;4;5;4;1;2;4;3;3;2;2;2;4;5;3;2
0;82;6;0;7;0;3;5;3;5;3;5;4;4;3;3;3;3;3;4;2;3;3;1;3;3;3;5;3;1;3;3;3;3;3;3;4;5;4;5;5;3;3
0;69;6;0;7;0;3;4;3;3;3;3;4;4;2;3;3;3;3;3;3;2;2;4;3;5;3;4;1;1;3;4;2;5;5;4;5;5;5;5;4;2;2
0;69;6;0;7;0;4;5;3;5;3;4;5;5;5;3;5;5;5;3;3;5;3;3;5;5;3;5;3;5;3;5;5;5;3;4;4;5;5;5;5;3;3
0;71;6;0;7;0;3;5;5;5;1;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;1;1;5;5;5;5;5;1;1
1;70;6;0;7;0;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
0;71;6;0;7;0;0;1;1;5;3;1;3;2;1;1;3;3;3;4;1;3;1;1;1;1;1;3;2;1;4;4;1;5;4;4;2;4;4;2;5;2;2
1;65;6;0;7;0;4;5;4;5;1;4;2;5;5;3;5;5;5;5;5;5;5;3;3;4;1;4;1;1;1;5;5;5;2;3;3;5;5;4;5;2;5
1;78;6;0;7;0;2;5;3;3;5;5;2;2;3;4;3;1;4;4;1;1;1;1;1;1;1;1;1;4;5;5;3;5;3;5;5;5;5;5;5;5;3
1;68;6;0;7;0;4;5;4;2;3;3;3;3;3;3;3;3;5;3;3;3;5;4;5;5;3;5;5;5;5;5;3;5;1;3;3;2;3;5;5;3;3
0;72;6;0;7;0;4;4;4;4;3;3;4;4;3;3;4;4;5;4;3;4;4;3;3;5;3;4;4;5;5;5;5;5;4;4;2;4;4;5;4;3;3
0;67;1;0;7;0;3;5;2;3;2;3;3;2;2;3;4;4;5;2;3;3;3;1;2;3;1;1;2;1;3;4;2;1;4;5;3;3;1;5;4;2;2
0;67;1;0;7;0;3;1;2;4;5;2;4;4;4;4;3;3;4;4;2;3;4;4;5;4;4;4;5;4;4;5;5;5;3;3;3;5;4;5;3;2;3
1;66;1;0;7;0;3;1;4;4;3;4;4;4;2;2;3;4;4;4;4;4;3;4;4;4;4;4;5;5;5;5;4;5;3;3;3;2;3;5;3;1;1
0;63;4;1;7;0;3;5;4;4;5;4;4;4;3;3;5;3;5;4;4;3;5;4;5;5;2;5;3;3;3;3;2;5;3;3;4;5;2;5;3;3;3
0;61;6;1;7;0;4;3;3;3;3;3;3;3;3;3;4;4;4;4;3;3;4;4;4;2;2;4;2;2;3;3;3;3;3;3;3;5;5;5;3;3;3
0;50;1;1;7;0;3;5;3;1;5;2;1;1;2;3;1;3;3;2;1;1;1;2;2;2;1;1;1;3;2;1;1;5;5;5;2;5;4;5;4;4;4
0;68;1;0;4;0;4;1;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
1;52;1;0;4;1;3;4;4;1;4;4;2;3;4;4;3;3;4;3;4;2;4;4;3;3;2;3;3;4;2;2;4;4;3;3;4;5;4;4;4;4;4
1;60;1;0;4;1;3;4;1;3;1;1;1;3;3;3;2;2;3;3;3;4;4;2;2;1;1;1;1;2;3;3;2;5;4;4;3;5;5;5;4;4;4
1;58;2;0;4;0;4;4;2;3;3;3;2;3;3;3;2;3;4;3;1;1;5;2;2;2;3;3;4;4;4;2;3;4;3;3;3;5;2;5;4;4;4
1;54;2;0;4;0;3;3;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;2;1;1;3;4;1;1;2;5;5;3;5;5;5;2;4;3
1;53;3;0;4;0;3;5;2;1;3;3;1;3;3;3;3;5;5;4;1;1;5;5;3;3;1;5;1;1;1;1;2;5;3;5;1;5;5;5;1;5;5
1;49;4;0;4;0;4;5;4;5;4;3;3;5;4;3;3;4;5;4;2;5;5;5;5;4;2;5;4;5;4;4;4;5;2;3;1;4;3;4;2;2;2
0;52;4;0;4;0;6;3;4;5;3;4;3;3;3;3;3;3;3;3;3;3;4;4;5;4;4;4;5;3;4;4;4;5;3;3;4;4;4;4;4;1;1
0;51;4;0;4;0;4;5;2;2;3;3;2;2;2;3;3;3;3;4;3;3;5;4;5;5;2;5;2;4;2;2;2;5;2;2;5;5;4;5;5;4;4
1;55;4;0;4;0;4;4;3;4;4;5;5;5;4;4;5;5;5;5;5;5;5;3;5;4;3;4;4;2;3;4;5;5;1;3;1;4;4;5;3;2;2
